YEAR,FUEL,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2022,CNGONLY,0,0,0,1284,117624,0,9532,2,1581,60294,68,717,9341,8,1978,0,202429
2022,DIESEL,1,2,0,2821,47384,189,173653,3890,6047,304596,880082,43096,19351,6909,8832,32913,1529766
2022,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,359,1,0,0,0,0,360
2022,DUALDIESEL/CNG,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
2022,DUALDIESEL/LNG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022,ELECTRIC(BOV),9,388607,3432,206,230828,6,0,0,1431,283,22742,3038,0,0,10,31,650623
2022,ETHANOL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2022,LPGONLY,0,0,0,16,9642,0,0,0,0,0,0,12,0,0,0,0,9670
2022,NOTAPPLICABLE,0,2,0,9,180,2,600,31,0,10577,31653,5,166,1351,0,20,44596
2022,PETROL,11520,9554095,8471,20,6799,1391,1,1,1,33953,1494382,21171,0,3,1,17,11131826
2022,PETROL/CNG,0,0,0,277,12564,166,0,0,0,1660,230890,34380,0,0,0,0,279937
2022,PETROL/HYBRID,0,0,0,0,0,48,0,0,0,0,109854,2045,0,0,0,0,111947
2022,PETROL/LPG,0,0,0,19,3013,2,0,0,0,75,1151,89,0,0,0,0,4349
2021,CNGONLY,0,0,0,978,85425,1,7830,0,540,57270,38,66,12358,2,516,3,165027
2021,DIESEL,0,6,1,5498,77657,210,155691,4364,5010,342309,1077033,34401,25287,11992,3854,46182,1789495
2021,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2,34
2021,DUALDIESEL/CNG,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,14
2021,ELECTRIC(BOV),6,144480,1832,159,153433,3,0,0,922,1042,11853,743,0,0,254,357,315084
2021,LNG,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3
2021,LPGONLY,0,0,0,71,13301,1,0,0,0,3,5,8,0,0,0,0,13389
2021,METHANOL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2021,NOTAPPLICABLE,0,10,0,76,27,1,330,14,0,14429,44905,37,247,1912,0,17,62005
2021,PETROL,9849,12387303,5696,39,8554,1662,1,0,7,45256,1920424,19353,1,2,13,94,14398254
2021,PETROL/CNG,0,2,0,443,15117,105,0,0,0,3179,203800,16073,0,0,0,3,238722
2021,PETROL/HYBRID,0,0,0,0,0,77,0,0,0,0,121555,655,0,0,0,0,122287
2021,PETROL/LPG,0,0,0,102,9132,3,0,0,0,155,5464,274,0,0,0,0,15130
2021,SOLAR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020,CNGONLY,0,0,0,344,20708,0,1014,1,1963,13341,72,424,3374,5,744,3,41993
2020,DIESEL,0,9,1,8187,155766,145,103656,3617,14697,411518,956900,57117,20922,12087,8375,36898,1789895
2020,DIESEL/HYBRID,0,0,0,0,0,0,0,0,1,3,2541,30,0,0,0,3,2578
2020,ELECTRIC(BOV),2,25451,2096,96,88104,0,0,0,53,14,3138,998,0,0,35,336,120323
2020,ETHANOL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2020,LNG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3
2020,LPGONLY,0,0,0,35,9707,0,0,0,0,3,11,102,0,1,0,0,9859
2020,METHANOL,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2020,NOTAPPLICABLE,1,128,0,15,53,1,213,3,0,21493,41725,10,278,1784,0,28,65732
2020,PETROL,9636,12714984,3684,76,11389,1042,1,1,2,17633,1564658,18817,0,1,11,148,14342083
2020,PETROL/CNG,0,5,0,598,47857,79,0,0,0,5136,138888,18491,0,0,0,0,211054
2020,PETROL/HYBRID,0,1,0,0,0,38,0,0,0,0,83178,524,0,0,0,0,83741
2020,PETROL/LPG,0,3,0,154,28557,5,0,0,0,82,7365,383,0,0,0,0,36549
2019,CNGONLY,0,2,0,0,121,0,598,1,2429,21015,139,1471,4473,2,590,2,30843
2019,DIESEL,1,65,2,21635,262288,266,238482,4287,23529,535991,1260855,154337,35792,11491,17841,37537,2604399
2019,DIESEL/HYBRID,0,0,0,0,0,5,2,3,1,2,35454,986,0,2,0,4,36459
2019,DUALDIESEL/CNG,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,5
2019,ELECTRIC(BOV),29,26686,1447,47,131604,0,0,0,371,59,785,730,0,0,90,174,162022
2019,ETHANOL,0,1,0,0,0,0,2,0,0,6,1,0,0,0,0,0,10
2019,LNG,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,5
2019,LPGONLY,0,1,0,5,3680,0,0,0,0,0,7,30,0,0,0,0,3723
2019,METHANOL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2019,NOTAPPLICABLE,0,1206,0,438,238,0,235,14,1,26541,34219,34,628,1276,2,230,65062
2019,PETROL,9470,16744614,21902,100,18921,921,1,2,3,1280,1551605,23726,3,3,5,429,18372985
2019,PETROL/CNG,0,30,0,3068,175673,164,0,0,0,3752,168399,42678,1,0,0,0,393765
2019,PETROL/HYBRID,0,5,0,0,0,27,0,0,0,0,74424,806,0,0,0,0,75262
2019,PETROL/LPG,0,16,0,296,88222,4,0,0,0,31,14951,768,0,0,0,0,104288
2019,SOLAR,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
2018,CNGONLY,0,4,0,7,601,0,448,0,1413,20379,237,2234,3615,1,539,2,29480
2018,DIESEL,1,495,3,17944,242865,239,316903,3716,22698,584642,1401499,173012,36364,9300,16956,36523,2863160
2018,DIESEL/HYBRID,0,0,0,0,3,11,1,2,11,6,53996,1964,1,2,1,20,56018
2018,DUALDIESEL/BIOCNG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018,DUALDIESEL/CNG,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
2018,ELECTRIC(BOV),7,15486,266,131,113897,0,0,0,36,758,961,696,4,2,7,138,132389
2018,ETHANOL,0,2,0,0,0,0,0,0,10,3,0,0,1,0,0,0,16
2018,LPGONLY,0,12,0,7,3828,0,0,0,0,20,109,9,0,0,0,0,3985
2018,NOTAPPLICABLE,1,1989,2,414,1797,0,612,27,4,46237,32853,128,1447,1717,4,147,87379
2018,PETROL,9285,17702154,17707,175,26675,980,50,3,18,813,1606921,22776,3,10,6,141,19387717
2018,PETROL/CNG,0,107,0,1825,212769,184,3,0,1,2116,173812,48439,0,1,1,1,439259
2018,PETROL/HYBRID,0,2,0,0,3,5,0,0,0,0,11505,49,0,0,0,0,11564
2018,PETROL/LPG,0,75,4,311,90284,4,0,0,0,18,19545,1117,0,0,1,0,111359
2018,SOLAR,0,54,5,0,0,0,0,0,0,0,4,0,0,0,0,0,63
2017,CNGONLY,0,29,0,11,4661,0,693,0,1584,13293,571,1267,1704,2,742,5,24562
2017,DIESEL,6,1608,3,14831,213076,172,255941,3373,29483,447711,1368715,165023,27781,5154,16976,42135,2591988
2017,DIESEL/HYBRID,0,5,0,0,2,6,4,3,15,11,44489,1726,1,3,0,7,46272
2017,DUALDIESEL/CNG,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
2017,ELECTRIC(BOV),1,1432,7,41,84480,0,1,1,9,910,924,312,0,0,5,182,88305
2017,ETHANOL,0,2,0,0,0,0,0,0,15,1,2,0,0,0,0,0,20
2017,LNG,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
2017,LPGONLY,0,60,0,8,3016,0,2,1,1,383,171,6,0,0,0,0,3648
2017,NOTAPPLICABLE,13,11571,15,587,4457,2,1454,84,54,45833,23939,303,560,341,4,537,89754
2017,PETROL,5188,16377384,7137,250,17823,823,112,4,16,2446,1553695,21291,19,18,23,671,17986900
2017,PETROL/CNG,2,456,2,1015,121487,194,5,0,9,708,162868,37916,1,0,1,5,324669
2017,PETROL/HYBRID,0,2,0,0,2,0,0,0,0,0,665,33,0,0,0,0,702
2017,PETROL/LPG,0,363,0,202,53125,7,0,1,0,21,24066,1257,0,0,1,1,79044
2017,SOLAR,0,125,0,0,3,0,4,1,1,7,9,1,0,0,0,0,151
2016,CNGONLY,0,40,0,22,12519,0,805,1,1838,9307,1540,1347,590,0,525,7,28541
2016,DIESEL,6,1987,3,20895,226897,126,238192,3274,33757,420717,1274709,187079,30130,3960,16753,43372,2501857
2016,DIESEL/HYBRID,0,0,0,0,2,1,15,2,3,13,10831,453,3,2,1,0,11326
2016,DUALDIESEL/CNG,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,8
2016,ELECTRIC(BOV),0,1422,0,31,48701,4,8,8,2,92,731,81,3,1,0,114,51198
2016,ETHANOL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,LNG,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
2016,LPGONLY,0,39,0,7,3284,0,0,0,0,407,176,14,0,0,0,1,3928
2016,NOTAPPLICABLE,10,23304,26,398,3228,1,703,85,63,46934,34003,569,1460,743,22,682,112231
2016,PETROL,3034,15041331,3923,382,24057,637,60,4,34,4307,1352494,18839,13,13,23,607,16449758
2016,PETROL/CNG,0,1067,0,1427,103853,141,5,0,10,1625,153894,56217,1,1,2,34,318277
2016,PETROL/HYBRID,0,0,0,0,0,0,0,0,0,0,510,17,0,0,0,0,527
2016,PETROL/LPG,0,422,0,171,46691,3,5,0,1,33,27223,1246,0,0,0,11,75806
