YEAR,FUEL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,TOTAL
2022,CNGONLY,23288,20670,25097,23598,19149,19592,21059,23736,26133,820,203142
2022,DIESEL,160272,153833,191279,174374,164132,172771,175076,166098,171076,6019,1534930
2022,DIESEL/HYBRID,3,4,3,4,23,57,78,120,66,5,363
2022,DUALDIESEL/CNG,2,0,0,0,0,1,0,0,0,0,3
2022,DUALDIESEL/LNG,0,0,0,0,0,0,0,0,1,0,1
2022,ELECTRIC(BOV),48783,54916,78419,73669,66496,72770,77662,86065,91502,3950,654232
2022,ETHANOL,0,0,1,1,0,0,0,0,0,0,2
2022,LPGONLY,1241,1018,1276,1010,765,992,860,1123,1380,26,9691
2022,NOTAPPLICABLE,5049,5338,6272,4661,4112,4956,4949,4123,5107,164,44731
2022,PETROL,1196769,1132076,1306833,1345027,1375135,1257239,1169242,1208769,1139199,52002,11182291
2022,PETROL/CNG,27009,30613,35354,32747,31239,31989,31248,31595,28049,1373,281216
2022,PETROL/HYBRID,10800,9350,8094,7140,15369,12303,12062,18123,18643,842,112726
2022,PETROL/LPG,667,471,723,538,462,470,414,276,329,5,4355
