region,date,frequency,unemployment_rate,employed,labour_participation_rate
Rural,2016-01-03, W,9.34,192719067.0,34.09
Urban,2016-01-03, W,8.3,110447642.0,38.44
Total,2016-01-03, W,8.97,303166709.0,35.55
Rural,2016-01-10, W,10.09,272633097.0,48.61
Urban,2016-01-10, W,10.41,126412852.0,45.01
Total,2016-01-10, W,10.19,399045948.0,47.41
Rural,2016-01-17, W,5.57,285486338.0,48.44
Urban,2016-01-17, W,9.67,126174091.0,44.54
Total,2016-01-17, W,6.86,411660428.0,47.14
Urban,2016-01-24, W,9.78,127746557.0,45.13
Total,2016-01-24, W,6.06,418592936.0,47.5
Rural,2016-01-24, W,4.33,290846379.0,48.69
Total,2016-01-31, W,11.42,393343265.0,47.31
Rural,2016-01-31, W,12.15,268488879.0,48.93
Urban,2016-01-31, W,9.78,124854386.0,44.09
Total,2016-02-07, W,7.1,405856543.0,46.53
Rural,2016-02-07, W,5.39,277808644.0,46.99
Urban,2016-02-07, W,10.6,128047899.0,45.61
Total,2016-02-14, W,8.3,400622117.0,46.51
Urban,2016-02-14, W,10.59,123081128.0,43.81
Rural,2016-02-14, W,7.25,277540990.0,47.87
Urban,2016-02-21, W,10.61,129641511.0,46.13
Rural,2016-02-21, W,6.95,276358636.0,47.49
Total,2016-02-21, W,8.15,406000147.0,47.04
Urban,2016-02-28, W,9.21,126004502.0,44.12
Rural,2016-02-28, W,6.8,279001304.0,47.85
Total,2016-02-28, W,7.57,405005805.0,46.6
Urban,2016-03-06, W,10.54,128737887.0,45.73
Rural,2016-03-06, W,10.87,272751362.0,48.89
Total,2016-03-06, W,10.76,401489250.0,47.83
Urban,2016-03-13, W,10.66,127107821.0,45.19
Rural,2016-03-13, W,8.53,274051465.0,47.84
Total,2016-03-13, W,9.21,401159285.0,46.96
Urban,2016-03-20, W,11.19,124189727.0,44.4
Total,2016-03-20, W,10.4,401894160.0,47.64
Rural,2016-03-20, W,10.04,277704432.0,49.28
Total,2016-03-27, W,9.42,376809424.0,44.17
Rural,2016-03-27, W,7.79,254112857.0,43.97
Urban,2016-03-27, W,12.62,122696566.0,44.56
Total,2016-04-03, W,7.6,406325553.0,46.67
Rural,2016-04-03, W,5.54,278893070.0,47.09
Urban,2016-04-03, W,11.82,127432483.0,45.84
Rural,2016-04-10, W,8.36,288760810.0,50.23
Urban,2016-04-10, W,12.72,123614589.0,44.9
Total,2016-04-10, W,9.71,412375399.0,48.45
Urban,2016-04-17, W,11.96,128205921.0,46.15
Total,2016-04-17, W,10.2,401982878.0,47.46
Rural,2016-04-17, W,9.35,273776957.0,48.12
Urban,2016-04-24, W,11.3,126564318.0,45.19
