date,rad,.geo
20140101,"{avg_rad=1.5625782364572967, cf_cvg=13.261425017858897}","{""type"":""MultiPoint"",""coordinates"":[]}"
20140201,"{avg_rad=1.4778650181013469, cf_cvg=9.540976314367596}","{""type"":""MultiPoint"",""coordinates"":[]}"
20140301,"{avg_rad=1.252295479006775, cf_cvg=12.839571204619936}","{""type"":""MultiPoint"",""coordinates"":[]}"
20140401,"{avg_rad=1.1097616894768774, cf_cvg=13.186950759409138}","{""type"":""MultiPoint"",""coordinates"":[]}"
20140501,"{avg_rad=1.195408002483809, cf_cvg=10.683382927237616}","{""type"":""MultiPoint"",""coordinates"":[]}"
20140601,"{avg_rad=1.254440750915995, cf_cvg=9.078563754258264}","{""type"":""MultiPoint"",""coordinates"":[]}"
20140701,"{avg_rad=1.2042007946162065, cf_cvg=4.480124427410803}","{""type"":""MultiPoint"",""coordinates"":[]}"
20140801,"{avg_rad=1.064509889397695, cf_cvg=4.864471950541787}","{""type"":""MultiPoint"",""coordinates"":[]}"
20140901,"{avg_rad=1.1470052103066697, cf_cvg=9.961192700668127}","{""type"":""MultiPoint"",""coordinates"":[]}"
20141001,"{avg_rad=1.5983222927200191, cf_cvg=13.892138069974328}","{""type"":""MultiPoint"",""coordinates"":[]}"
20141101,"{avg_rad=1.9907673756989526, cf_cvg=14.069805787231516}","{""type"":""MultiPoint"",""coordinates"":[]}"
20141201,"{avg_rad=1.5552056090883866, cf_cvg=11.714962855450922}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150101,"{avg_rad=1.4619496621444987, cf_cvg=10.324776164683852}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150201,"{avg_rad=1.1856031061184775, cf_cvg=12.948068158837614}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150301,"{avg_rad=1.208512084967537, cf_cvg=11.801746002589665}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150401,"{avg_rad=1.135190463400123, cf_cvg=11.005803303288527}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150501,"{avg_rad=1.192047798830761, cf_cvg=10.503959103136745}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150601,"{avg_rad=1.2297947724249174, cf_cvg=5.39497427300192}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150701,"{avg_rad=1.2593031890778388, cf_cvg=4.154845516243856}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150801,"{avg_rad=1.2020934083174533, cf_cvg=5.825797267167782}","{""type"":""MultiPoint"",""coordinates"":[]}"
20150901,"{avg_rad=1.233085091772525, cf_cvg=7.149865038639972}","{""type"":""MultiPoint"",""coordinates"":[]}"
20151001,"{avg_rad=1.315391490523116, cf_cvg=14.478833593907769}","{""type"":""MultiPoint"",""coordinates"":[]}"
20151101,"{avg_rad=1.570252958851651, cf_cvg=12.409611711520808}","{""type"":""MultiPoint"",""coordinates"":[]}"
20151201,"{avg_rad=1.4668836436584922, cf_cvg=13.276400783901448}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160101,"{avg_rad=1.7266017422998423, cf_cvg=13.020762022477458}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160201,"{avg_rad=1.6966543627874016, cf_cvg=11.24156972281711}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160301,"{avg_rad=1.4904572916575758, cf_cvg=10.212518908546713}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160401,"{avg_rad=1.3481675278350012, cf_cvg=10.52129806325132}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160501,"{avg_rad=1.1215279587901212, cf_cvg=9.951347969526875}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160601,"{avg_rad=1.203197574295219, cf_cvg=7.334656642215111}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160701,"{avg_rad=1.3152333587132454, cf_cvg=3.255626498078935}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160801,"{avg_rad=1.2611794148324966, cf_cvg=3.993586883677185}","{""type"":""MultiPoint"",""coordinates"":[]}"
20160901,"{avg_rad=1.1624327828957186, cf_cvg=8.464358757942872}","{""type"":""MultiPoint"",""coordinates"":[]}"
20161001,"{avg_rad=1.3637176197205847, cf_cvg=12.576067150006306}","{""type"":""MultiPoint"",""coordinates"":[]}"
20161101,"{avg_rad=1.7312899660942933, cf_cvg=15.51223537979946}","{""type"":""MultiPoint"",""coordinates"":[]}"
20161201,"{avg_rad=1.7744631724958744, cf_cvg=15.494441042660004}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170101,"{avg_rad=1.430851788443565, cf_cvg=14.504844167862492}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170201,"{avg_rad=1.3331498863788198, cf_cvg=12.571744341678814}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170301,"{avg_rad=1.1545826746462322, cf_cvg=14.299190261589576}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170401,"{avg_rad=1.0630050062856353, cf_cvg=12.015863287107683}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170501,"{avg_rad=0.9516597012417427, cf_cvg=9.099263404976965}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170601,"{avg_rad=0.9262365669115842, cf_cvg=4.824454402415016}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170701,"{avg_rad=0.944884326089464, cf_cvg=3.3938135790314976}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170801,"{avg_rad=0.8644868161964026, cf_cvg=5.058482039136785}","{""type"":""MultiPoint"",""coordinates"":[]}"
20170901,"{avg_rad=0.977131092685581, cf_cvg=6.3263409984047225}","{""type"":""MultiPoint"",""coordinates"":[]}"
20171001,"{avg_rad=1.0918047659535297, cf_cvg=13.293079989453146}","{""type"":""MultiPoint"",""coordinates"":[]}"
20171101,"{avg_rad=1.1079148243406085, cf_cvg=13.639954923639577}","{""type"":""MultiPoint"",""coordinates"":[]}"
20171201,"{avg_rad=1.308069494594424, cf_cvg=13.786873097825655}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180101,"{avg_rad=1.3877952345222824, cf_cvg=15.099455389459607}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180201,"{avg_rad=1.1996410719697341, cf_cvg=12.954866705300034}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180301,"{avg_rad=1.0907229040192672, cf_cvg=13.032065260794747}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180401,"{avg_rad=1.1192936795079924, cf_cvg=11.138730353976696}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180501,"{avg_rad=0.9696285233107668, cf_cvg=9.16145774758422}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180601,"{avg_rad=0.9601289418819846, cf_cvg=6.048734538649408}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180701,"{avg_rad=0.9301768036251552, cf_cvg=2.733757164375464}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180801,"{avg_rad=0.9192792792409005, cf_cvg=3.458150562709858}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180901,"{avg_rad=0.9717953381092453, cf_cvg=8.537687551223852}","{""type"":""MultiPoint"",""coordinates"":[]}"
20181001,"{avg_rad=1.040089747501982, cf_cvg=11.529963910947592}","{""type"":""MultiPoint"",""coordinates"":[]}"
20181101,"{avg_rad=1.320399958994629, cf_cvg=14.459496760790605}","{""type"":""MultiPoint"",""coordinates"":[]}"
20181201,"{avg_rad=1.3651232924910321, cf_cvg=14.79999285586722}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190101,"{avg_rad=1.5023454908581555, cf_cvg=17.243326683572928}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,"{avg_rad=1.376526859323617, cf_cvg=12.575596906245469}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190301,"{avg_rad=1.2192848188396677, cf_cvg=15.361265446164618}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,"{avg_rad=1.1498047979190744, cf_cvg=12.514051793070678}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190501,"{avg_rad=1.1337841957027162, cf_cvg=10.96435511967464}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190601,"{avg_rad=1.051489723088579, cf_cvg=6.600652575755121}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190701,"{avg_rad=1.0336827125300836, cf_cvg=3.748326860694825}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190801,"{avg_rad=0.9816075072976131, cf_cvg=3.8797332554054287}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,"{avg_rad=0.9337357371517667, cf_cvg=4.21982549737384}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,"{avg_rad=1.133463445347002, cf_cvg=8.670225575148093}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,"{avg_rad=1.2116196026315422, cf_cvg=12.241054265129518}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,"{avg_rad=1.3782752837072803, cf_cvg=12.016599277022316}","{""type"":""MultiPoint"",""coordinates"":[]}"
